Date,HDFCBANK.NS,ICICIBANK.NS
2020-07-01,513.6533203125,352.1046142578125
2020-07-02,515.9266357421875,350.94403076171875
2020-07-03,508.609619140625,349.15472412109375
2020-07-06,522.367431640625,349.976806640625
2020-07-07,523.3855590820312,363.71087646484375
2020-07-08,525.8482666015625,356.8438720703125
2020-07-09,532.7625732421875,358.19793701171875
2020-07-10,523.3618774414062,348.5260314941406
2020-07-13,511.59332275390625,341.99749755859375
2020-07-14,501.4584045410156,334.211669921875
2020-07-15,498.75909423828125,334.4534606933594
2020-07-16,503.2108459472656,333.3411865234375
2020-07-17,520.2125244140625,342.1909484863281
2020-07-20,536.5986938476562,351.0890808105469
2020-07-21,539.2034301757812,366.3706359863281
2020-07-22,533.4255981445312,368.5951843261719
2020-07-23,535.34375,379.3793029785156
2020-07-24,529.9921264648438,369.2722473144531
2020-07-27,511.23809814453125,346.73675537109375
2020-07-28,514.624267578125,340.5467529296875
2020-07-29,504.181640625,339.5311584472656
2020-07-30,497.5750732421875,333.6313781738281
2020-07-31,489.1215515136719,335.4206237792969
2020-08-03,474.5350036621094,331.98712158203125
2020-08-04,493.31280517578125,339.4828186035156
2020-08-05,486.6351623535156,340.6434631347656
2020-08-06,492.86279296875,346.97857666015625
2020-08-07,494.3546142578125,346.20477294921875
2020-08-10,497.5750732421875,351.6210632324219
2020-08-11,505.1524353027344,355.2963562011719
2020-08-12,503.7552795410156,354.8127746582031
2020-08-13,501.5532531738281,355.973388671875
2020-08-14,489.9028625488281,349.54156494140625
2020-08-17,489.09783935546875,348.3809509277344
2020-08-18,500.3455505371094,357.4241638183594
2020-08-19,505.12872314453125,362.16339111328125
2020-08-20,501.5295715332031,355.6832580566406
2020-08-21,514.150634765625,358.9716491699219
2020-08-24,529.021240234375,367.8697814941406
2020-08-25,530.2761840820312,373.6729431152344
2020-08-26,529.6842651367188,376.574462890625
2020-08-27,526.677001953125,379.33099365234375
2020-08-28,527.8136596679688,396.25677490234375
2020-08-31,528.4529418945312,381.6522216796875
2020-09-01,533.8756103515625,378.12200927734375
2020-09-02,537.1196899414062,379.5244140625
2020-09-03,535.5805053710938,370.1910705566406
2020-09-04,530.0868530273438,360.3257141113281
2020-09-07,525.919189453125,361.1478271484375
2020-09-08,526.8427734375,363.3724060058594
2020-09-09,519.2889404296875,355.53814697265625
2020-09-10,516.4711303710938,358.53643798828125
